experiment_name,results_dir,factor_name,object_name,num_samples,R_error_deg,T_error_cm,ADD_m,ADD-S_m,ADD_0.1d,ADD-S_0.1d,SCE_cm,SNE_deg,Z_err_cm,success_SNE_15deg,visibility_ratio,occlusion_ratio
analysis_003_viewpoint,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_viewpoint/2026-04-02_19-37-02,viewpoint,003_cracker_box,20,0.5165699414908886,0.537740969657898,0.005409049987792969,0.0027298082720918033,1.0,1.0,0.5405023745586719,0.3930004161351161,0.25478077605366745,1.0,1.0,0.0
analysis_003_distance,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_distance/2026-04-02_19-38-26,distance,003_cracker_box,10,0.3889219254255295,0.5114635735750198,0.005062103271484375,0.00267435705384697,1.0,1.0,0.5084974334715091,0.25373589132474256,0.23607603684067557,1.0,1.0,0.0
analysis_003_lighting,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_lighting/2026-04-02_19-39-11,lighting,003_cracker_box,20,0.42504432518035173,0.5142991617321968,0.005114555358886719,0.0025191029912589986,1.0,1.0,0.5168835535739758,0.329539178935371,0.2924742836505179,1.0,1.0,0.0
analysis_003_clutter,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_clutter/2026-04-02_19-40-30,clutter,003_cracker_box,20,0.41996960416436196,0.5072303473949432,0.005091667175292969,0.002531238547303131,1.0,1.0,0.5081234241609442,0.3021027944829136,0.27887353841215484,1.0,1.0,0.0
analysis_003_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_occlusion/2026-04-02_19-41-50,occlusion,003_cracker_box,13,22.113744070896736,2.3100012494967532,0.02868799062875601,0.011316085183120089,0.8461538461538461,0.8461538461538461,1.9047892812892135,14.478514940594916,1.0815610220799075,0.9230769230769231,0.6239043965590144,0.3760956034409856
analysis_003_v_l_c_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_003_v_l_c_occlusion/2026-04-02_19-42-48,viewpoint_lighting_clutter_occlusion,003_cracker_box,27,0.8563238233327866,0.5755050524517342,0.005890316433376736,0.0028448272752232776,1.0,1.0,0.5737092664104496,0.7206745357699105,0.27679165935626476,1.0,0.9385880060238909,0.0614119939761092
analysis_005_viewpoint,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_viewpoint/2026-04-02_19-44-32,viewpoint,005_tomato_soup_can,20,14.320098042488098,0.8758657157421113,0.012056541442871094,0.003492133855114742,0.9,1.0,1.5413352664295987,14.291919608773224,0.916800385923129,0.9,1.0,0.0
analysis_005_distance,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_distance/2026-04-02_19-45-51,distance,005_tomato_soup_can,10,8.088707876205444,0.8129446089267731,0.009180831909179687,0.0032205759840257557,1.0,1.0,1.0731879920524663,8.07737038843552,0.6174795478582373,1.0,1.0,0.0
analysis_005_lighting,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_lighting/2026-04-02_19-46-37,lighting,005_tomato_soup_can,20,7.485740756988525,0.8455795913934707,0.0092926025390625,0.0034586650579268865,1.0,1.0,1.0853911698670955,7.482346911681981,0.5535612404346459,1.0,1.0,0.0
analysis_005_clutter,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_clutter/2026-04-02_19-47-56,clutter,005_tomato_soup_can,20,7.8545777082443236,0.8228079169988632,0.009212493896484375,0.003269714532724813,1.0,1.0,1.0708720898131192,7.850391390094737,0.5477280765771869,1.0,1.0,0.0
analysis_005_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_occlusion/2026-04-02_19-49-18,occlusion,005_tomato_soup_can,9,25.030975038782575,1.3725665096102004,0.017542521158854168,0.006224744565626556,0.8888888888888888,0.8888888888888888,1.979749234156274,24.537739357422655,0.6142522311872907,0.8888888888888888,0.8349393953305261,0.16506060466947398
analysis_005_v_l_c_occlusion,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_005_v_l_c_occlusion/2026-04-02_19-50-02,viewpoint_lighting_clutter_occlusion,005_tomato_soup_can,26,18.82933027927692,1.1655634114375482,0.014654012826772837,0.004597099100982648,0.9230769230769231,0.9230769230769231,1.5088353027249648,16.0849155549196,0.5218770269017945,0.9230769230769231,0.8933012804760927,0.10669871952390733
analysis_006_viewpoint,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_viewpoint/2026-04-02_19-51-43,viewpoint,006_mustard_bottle,20,29.387885570526123,1.2229614436626435,0.019852447509765624,0.005832063673701486,0.95,1.0,1.223670016970519,0.5422749385754689,0.5824673948809517,1.0,1.0,0.0
analysis_006_distance,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_distance/2026-04-02_19-53-31,distance,006_mustard_bottle,10,22.82534465789795,1.256352174282074,0.01791839599609375,0.005964831176875512,1.0,1.0,1.2551319679881596,0.3708976928326969,0.7607875261455788,1.0,1.0,0.0
analysis_006_lighting,/home/iacopo/cv_final/Any6D/results/isaac_any6d/analysis_006_lighting/2026-04-02_19-54-26,lighting,006_mustard_bottle,20,22.825522422790527,1.197614461183548,0.017487335205078124,0.00576438231670616,1.0,1.0,1.1972468130980467,0.3651265706921039,0.6563050932745673,1.0,1.0,0.0
